Phylostratum	GeneID	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B32	B33	B34
0.7404580152671757	B4U62_00005	8034	8148	6718	2936	3195	3052	5113	3284	5305	6191	5706	5502	4607	4255	3453	3530	3094	4849	2851	1693	2099	3472	103	115	285	1026	1079	107	411	341	556
0.7404580152671757	B4U62_00010	6087	5814	5167	1998	2094	1876	3393	2239	3520	3826	3153	3263	3134	2261	2082	1747	1504	2433	1402	893	1288	1813	92	96	392	817	948	64	1139	834	1183
0.7404580152671757	B4U62_00015	1426	1520	1178	480	641	700	1098	587	1024	851	769	863	480	470	444	523	378	677	418	245	383	500	29	24	58	184	186	16	60	47	92
0.7404580152671757	B4U62_00020	11470	13952	10174	4780	5394	5465	8924	5878	9823	9966	9320	8975	8321	6903	5792	8400	6420	10409	9224	6075	6861	8927	1193	1378	2259	7302	5507	452	9702	8075	10881
0.8730048577376821	B4U62_00025	1012	1111	887	357	498	454	840	608	917	1064	923	858	827	789	574	963	755	1130	852	458	539	1071	35	29	169	703	515	24	1131	1038	1334
0.7404580152671757	B4U62_00030	19024	21572	16952	10629	11076	10493	15040	9551	16069	18427	16073	15744	15273	12184	10103	14982	10613	17542	15279	9666	11888	16134	1435	1521	3805	10830	8230	672	27234	21368	31936
0.7404580152671757	B4U62_00035	33125	37491	29462	16291	18050	17834	30172	19423	30294	29104	27290	25790	22975	17117	14457	22437	15652	26587	18292	11570	15236	22022	1208	1363	3901	11638	9740	998	25379	18943	29173
0.8730048577376821	B4U62_00065	175	210	152	32	89	56	215	124	161	372	357	320	692	865	685	440	507	671	353	384	401	1064	47	12	135	228	863	61	96	123	236
0.7404580152671757	B4U62_00070	14816	16171	14019	15622	13293	12600	12160	7737	12434	13535	10787	11121	9652	7547	6726	6181	5445	8478	11931	6645	8211	7171	1194	1282	2300	4029	5166	248	31666	20843	32649
0.7404580152671757	B4U62_00075	17941	20919	16225	4699	6513	6410	10645	7298	11727	9470	8273	8366	5404	4401	3628	4275	3326	5567	3180	2029	2947	3746	152	152	700	1527	2436	181	1501	1185	1692
0.7404580152671757	B4U62_00080	24640	30047	22576	10542	10604	10211	20140	12702	21554	14820	12208	12181	7631	6063	5381	6488	5273	8312	5912	2968	3912	5535	382	473	1081	2919	2610	169	1033	929	1189
0.7404580152671757	B4U62_00085	21564	25882	19395	9902	9185	10016	16327	10544	17668	11445	9184	9173	6080	4223	3969	4738	3632	6164	3991	2013	2850	3143	182	255	662	2030	1880	128	1270	1193	1478
0.7404580152671757	B4U62_00090	10260	11858	9728	8600	7361	6471	6241	4347	6828	5307	4437	4284	3480	2558	2408	2830	2091	3439	2457	1440	1947	2051	121	166	606	1133	1076	130	5470	3928	6875
0.7404580152671757	B4U62_00100	2783	3089	2590	872	1278	1033	2433	1495	2374	2061	1799	1751	1525	1258	1043	1528	1190	1990	1268	697	821	1432	28	31	101	440	389	31	75	69	118
0.7404580152671757	B4U62_00105	2241	2514	2097	803	1102	1035	2050	1402	2162	1888	1598	1604	1252	1114	968	1453	1124	1806	1130	658	909	1407	35	29	119	486	365	25	36	42	85
0.7404580152671757	B4U62_00110	196	141	99	179	124	132	99	84	108	8151	8249	7699	18225	20141	14928	15856	14751	22193	18158	13037	12815	27149	1789	1756	2643	3458	6441	304	932	939	1124
0.7404580152671757	B4U62_00115	294	239	190	196	170	124	123	89	132	1610	1702	1151	2147	2918	2325	1476	1698	2409	1358	1492	1565	5042	245	192	1847	2061	5305	533	775	719	743
0.7404580152671757	B4U62_00120	958	1216	825	290	374	386	755	448	849	964	875	876	675	677	529	567	461	806	666	435	397	555	77	78	96	217	310	18	61	61	80
0.7404580152671757	B4U62_00130	5134	6249	4716	1970	2691	2448	4052	2671	3947	4246	4031	3903	4153	3865	2975	3494	2870	4608	3112	2057	2469	4647	370	374	614	1848	1522	107	762	634	951
0.7404580152671757	B4U62_00135	1686	1869	1344	749	945	927	1808	1218	1344	1770	2005	1633	1250	1182	970	805	781	1244	776	330	565	811	12	13	58	232	321	15	305	268	405
0.7404580152671757	B4U62_00140	1534	1740	1342	585	695	559	802	591	949	1250	1211	1077	1270	1306	1016	1200	1024	1735	907	683	854	1508	79	64	123	301	364	35	246	218	328
0.8730048577376821	B4U62_00145	709	816	569	236	261	259	447	303	434	584	596	497	701	685	513	637	484	860	348	304	302	674	16	17	23	122	127	18	138	103	157
0.8730048577376821	B4U62_00150	184	223	187	47	94	73	121	99	120	741	534	672	1008	1027	646	591	606	742	303	428	457	515	13	19	19	78	107	6	20	23	46
0.8945176960444137	B4U62_00180	202	290	214	12	58	44	142	100	81	478	683	639	901	1014	760	605	715	944	342	429	439	185	2	1	10	48	70	19	49	61	218
