Phylostratum	GeneID	Cleavage	Embryonic pharynx	Embryonic gut cavity	Gastrodermal cells	Muscle and neuron diff.	Organogenesis	Brain condensation	Organ maturation
5	FW_v1_tr_00001	0	0.0	0.0	7.83333333333333	10.625	13.9	39.9285714285714	11.8181818181818
1	FW_v1_tr_00002	3	0.0	0.0	8.33333333333333	3.625	5.2	7.5	5.36363636363636
1	FW_v1_tr_00003	0	2.33333333333333	4.6	28.8333333333333	41.625	45.5	36.0	24.0909090909091
1	FW_v1_tr_00005	18	127.333333333333	181.0	223.166666666667	246.625	194.3	275.928571428571	173.363636363636
14	FW_v1_tr_00006	3	13.6666666666667	57.4	17.6666666666667	13.875	6.8	44.6428571428571	18.5454545454545
14	FW_v1_tr_00007	0	0.0	1.8	0.166666666666667	2.625	1.6	7.71428571428571	13.0
1	FW_v1_tr_00008	0	0.0	0.6	3.33333333333333	4.25	10.7	7.0	8.90909090909091
5	FW_v1_tr_00009	3	2.66666666666667	8.0	2.0	5.375	0.7	2.85714285714286	0.909090909090909
1	FW_v1_tr_00010	89	48.3333333333333	79.4	20.8333333333333	24.25	20.0	26.5	25.9090909090909
1	FW_v1_tr_00012	10	7.0	7.8	3.0	2.25	0.8	1.5	0.0909090909090909
2	FW_v1_tr_00013	0	5.0	47.2	111.666666666667	109.75	64.4	84.7142857142857	47.5454545454545
1	FW_v1_tr_00014	0	6.66666666666667	20.6	36.0	26.75	21.5	23.4285714285714	17.4545454545455
5	FW_v1_tr_00015	3	13.3333333333333	7.0	18.8333333333333	15.25	14.3	10.0	1.63636363636364
1	FW_v1_tr_00016	74	68.6666666666667	68.6	29.5	22.875	10.2	72.9285714285714	71.4545454545455
1	FW_v1_tr_00017	0	3.33333333333333	3.4	9.0	12.625	23.1	140.214285714286	102.545454545455
1	FW_v1_tr_00018	0	38.0	46.6	171.166666666667	152.375	83.0	95.8571428571429	63.0
2	FW_v1_tr_00019	0	0.0	1.4	12.5	2.875	3.7	16.6428571428571	13.0
